title,link,snippet,keywords,category
[PDF][PDF] Detección de cambio ambiental en selvas y bosques de México con percepción remota: Un enfoque multiescalar de espacio y tiempo,https://www.redalyc.org/pdf/339/33931213002.pdf,"… temporales utilizando percepción remota y sistemas de … en México, por medio de imágenes 
AVHRR, MODIS y Lansat. Se concluye que la caracterización permitió identificar en México …","['percepción remota', '… en México', ', por medio de imágenes', ', MODIS', 'la caracterización']",MODIS
"[HTML][HTML] Sistemas agroforestales de café en Veracruz, México: identificación y cuantificación espacial usando SIG, percepción remota y conocimiento local",https://www.scielo.org.mx/scielo.php?pid=S0187-57792018000300261&script=sci_arttext,"… Para ello se emplearon técnicas de análisis de percepción remota (PR), con enfoque 
paramétrico sobre Sistemas de Información Geográfica (GIS), clasificación interpretativa de tierras …","['percepción remota', ', con enfoque', 'Sistemas de Información Geográfica (GIS), clasificación interpretativa de tierras']",Otros
[HTML][HTML] Inventario de cuerpos de agua de la Sierra Madre Occidental (México) usando SIG y percepción remota,https://www.scielo.org.mx/scielo.php?pid=S0188-46112020000200111&script=sci_arttext,"El agua dulce es un recurso fundamental para procesos ambientales y sociales, indispensable 
para el surgimiento y desarrollo de la vida, por lo que mapear y monitorear las aguas …","['El agua dulce', 'procesos ambientales y sociales, indispensable \npara el surgimiento y desarrollo de la vida', 'las aguas']",Otros
"[HTML][HTML] Caracterización litológica de regiones desérticas mediante técnicas de percepción remota: un ejemplo en la franja costera central de baja California, México",https://www.scielo.org.mx/scielo.php?pid=S1026-87742005000200229&script=sci_arttext,"La utilización de técnicas de combinación de bandas en compuestos a color, análisis de 
componentes principales, fotointerpretación y clasifi cación supervisada de una imagen …","['La utilización', ', análisis', '\ncomponentes principales', ', fotointerpretación', 'cación supervisada', 'una imagen']",Otros
"[HTML][HTML] La percepción remota en el seguimiento de plumas de detritos en bahía de banderas, Jalisco-Nayarit, México",https://www.scielo.org.mx/scielo.php?pid=S0188-49992019000300671&script=sci_arttext,"… La percepción remota es una alternativa muy eficiente para el monitoreo de plumas de … 
Este trabajo presenta el caso de estudio de Bahía de Banderas, Jalisco-Nayarit, México, donde …","['La percepción remota', 'el monitoreo', '… \nEste trabajo', 'el caso', 'Bahía de Banderas, Jalisco-Nayarit, México']",Otros
"Combinación de métodos potenciales y percepción remota para el análisis geológico-estructural de la caldera panales, Hidalgo, México",https://repository.uaeh.edu.mx/revistas/index.php/aactm/article/view/5021,"… el cretácico en la porción este y centro de México. De manera específica, el área de estudio 
se … de los métodos potenciales y la percepción remota con las diferentes fallas, fracturas y …","['… el cretácico', 'la porción', 'manera específica', 'el área', 'los métodos potenciales', 'la percepción', 'las diferentes fallas', ', fracturas']",Otros
"[HTML][HTML] Análisis multiescala de indicadores arqueológicos de Tlajinga, Teotihuacan (México). Desde la percepción remota a la microscopía",https://www.scielo.org.mx/scielo.php?pid=S1405-33222019000200457&script=sci_arttext,"… La percepción remota es una herramienta valiosa para la investigación … en México se 
realizó en Oztoyahualco, al noroeste de Teotihuacan. En este sitio se utilizó la percepción remota …","['La percepción remota', 'la investigación', ', al noroeste', 'este sitio', 'la percepción remota']",Otros
[HTML][HTML] Las presas de jales en el noroeste del estado de Sonora: una aproximación geográfica mediante percepción remota,https://www.scielo.org.mx/scielo.php?pid=S0188-46112018000300008&script=sci_arttext,"… del Índice J empleando la percepción remota para la localización preliminar … México, 
permitió identificar el 100% de las minas de cobre señaladas por el Servicio Geológico Mexicano. …","['… del Índice J empleando la percepción remota para la localización preliminar … México, \n', 'las minas', 'el Servicio Geológico Mexicano']",Otros
Los mares mexicanos a través de la percepción remota,http://coralito.umar.mx:8383/jspui/handle/123456789/1263,"… El primero de ellos presenta las bases físicas generales de la percepción remota, los … , 
el potencial de las técnicas de percepción remota en la prospección de nuestros recursos …","['las bases físicas', 'la percepción remota', 'el potencial', 'las técnicas', 'percepción remota', 'la prospección', 'nuestros recursos']",Otros
"[PDF][PDF] Caracterización litológica de regiones desérticas mediante técnicas de percepción remota: Un ejemplo en la franja costera central de Baja California, Mexico",https://www.redalyc.org/pdf/572/57222207.pdf,"… La escasa cobertura vegetal en la región facilita los estudios geológicos por medio de 
técnicas de percepción remota, ya que la señal integrada por el sensor proviene primordialmente …","['La escasa cobertura vegetal', 'la región', 'los estudios geológicos', 'medio de \ntécnicas', 'percepción remota', 'la señal integrada por el sensor']",Otros
Percepción remota para la estimación de población en áreas geoestadísticas básicas,https://biblat.unam.mx/es/revista/realidad-datos-y-espacio-revista-internacional-de-estadistica-y-geografia/articulo/percepcion-remota-para-la-estimacion-de-poblacion-en-areas-geoestadisticas-basicas,"… con base en información de percepción remota y de catastro, … que no fue posible extraer 
mediante percepción remota … ) along three districts of Mexico City through altimetry LIDAR data, …","['… con base', 'percepción remota y de catastro', 'percepción remota', '… ) along three districts of Mexico City through altimetry LIDAR data']",Otros
[PDF][PDF] PERCEPCIÓN REMOTA Y TÉCNICAS GEOFÍSICAS DE PROSPECCIÓN PARA EL ESTUDIO DE UN ASENTAMIENTO DEL FORMATIVO EN LA LAGUNA …,https://www.researchgate.net/profile/Jorge-Blancas/publication/305495146_Integrated_remote_sensing_studies_at_La_Laguna_Tlaxcala_Mexico/links/5791d97508aed51475ac15f4/Integrated-remote-sensing-studies-at-La-Laguna-Tlaxcala-Mexico.pdf,"OBJETIVOS • Utilizar la percepción remota y las técnicas de prospección geofísica para 
identificar zonas del terreno asociadas con antiguas modificaciones al paisaje y con elementos …",['OBJETIVOS • Utilizar la percepción remota y las técnicas de prospección geofísica para \nidentificar zonas del terreno asociadas con antiguas modificaciones al paisaje y con elementos …'],Otros
Estrategias para la evaluación de impactos petroleros por medio de percepción remota y sistemas de información geográfica en México,https://dialnet.unirioja.es/servlet/articulo?codigo=311956,"Usando la Percepción Remota (PR) y los Sistemas de Información Geográfica (SIG) se 
evaluaron diferentes áreas contaminadas por hidrocarburos en una zona pantanosa, vecina a …","['la Percepción Remota (PR) y los Sistemas de Información Geográfica (SIG)', 'diferentes áreas contaminadas por hidrocarburos en una zona pantanosa, vecina']",Otros
[HTML][HTML] Detección de restricciones en la producción de agave azul (Agave tequilana Weber var. azul) mediante percepción remota,https://www.scielo.org.mx/scielo.php?pid=S0187-57792017000300259&script=sci_arttext,"… Jalisco, México, por medio de percepción remota. Se utilizó una imagen adquirida por el 
satélite LANDSAT 5 el 2 de abril de 2011, la cual se procesó para su calibración radiométrica, …","['… Jalisco', ', México', 'medio de percepción remota', 'una imagen adquirida por el \nsatélite LANDSAT 5 el 2 de abril de 2011', 'la cual', 'su calibración radiométrica']",Landsat
[BOOK][B] La percepción remota: nuestros ojos desde el espacio,https://www.academia.edu/download/39002337/63_LA_PERCEPCION_REMOTA_NUESTROS_OJOS_EN_EL_ESPACIO.pdf,"… mis colegas del Departamento de Percepción Remota, a quienes … más para impulsar la 
percepción remota, ciencia tan necesaria, … en la cartografía de una ciudad como México. En los …","['… mis colegas', 'Departamento de Percepción Remota', 'la \npercepción remota', ', ciencia tan necesaria', ', … en la cartografía', 'una ciudad', 'como México']",Otros
[HTML][HTML] Estimación de parámetros forestales en bosques de coníferas con técnicas de percepción remota,https://www.scielo.org.mx/scielo.php?pid=S2007-11322016000400007&script=sci_arttext,"… de dos plataformas satelitales: SPOT y Quickbird ® para la estimación de parámetros forestales 
de interés en un área bajo manejo, localizada en los límites entre el Estado de México y …","['… de dos plataformas satelitales', ': SPOT', 'la estimación', 'parámetros forestales \n', 'un área', 'los límites', 'el Estado de México']",Otros
[PDF][PDF] MODELO PREDICTIVO DE LA OCURRENCIA DE INCENDIOS FORESTALES EN MÉXICO UTILIZANDO PERCEPCIÓN REMOTA,https://www.researchgate.net/profile/Rogelio-Sosa-Valdes/publication/344849615_Modelo_predictivo_de_la_ocurrencia_de_incendios_forestales_en_Mexico_utilizando_percepcion_remota/links/5f935845299bf1b53e406d46/Modelo-predictivo-de-la-ocurrencia-de-incendios-forestales-en-Mexico-utilizando-percepcion-remota.pdf,"… percepción remota, teniendo una aplicación relevante en la detección de incendios forestales. 
Actualmente, en México … incendios mediante el uso de percepción remota. Para ello se …","['… percepción remota', 'una aplicación relevante', 'la detección', 'incendios forestales', ', en México', 'el uso', 'percepción remota']",Otros
Identificación y clasificación de humedales interiores del estado de Tamaulipas por percepción remota y sistemas de información geográfica,https://www.scielo.org.mx/scielo.php?pid=S0188-46112002000300006&script=sci_abstract&tlng=pt,"… inland wetlands in the state of Tamaulipas, Mexico, important for migratory aquatic birds. … 
scape due to farming development in northem Mexico in the Iatest decades. Agricultural fieids …","['inland wetlands in the state of Tamaulipas, Mexico, important for', 'aquatic birds', '… \nscape', 'due to farming development', 'Mexico in the Iatest decades', 'Agricultural fieids …']",Otros
[PDF][PDF] Sociedad Latinoamericana de Percepción Remota y Sistemas de Información Espacial–México Mesa directiva 2016-2017,https://www.researchgate.net/profile/Judith-Ley-Garcia-2/publication/323703550_Analisis_geoespacial_en_los_estudios_urbanos_version_digital/links/650b275182f01628f0345424/Analisis-geoespacial-en-los-estudios-urbanos-version-digital.pdf,"… de Percepción Remota y Sistemas de Información Espacial (SELPER) capítulo México, en el 
… promover actividades relacionadas con la percepción remota y las ciencias espaciales, de …","['… de Percepción Remota y Sistemas de Información Espacial (SELPER) capítulo México, en el \n…', 'actividades relacionadas con la percepción remota y las ciencias espaciales']",Otros
[PDF][PDF] Modelo predictivo de la calidad del agua en reservorios de Chihuahua-México usando la percepción remota,https://www.researchgate.net/profile/Luis-Alatorre/publication/302503911_Modelo_Predictivo_de_la_calidad_del_agua_en_reservorios_de_Chihuahua-Mexico_usando_la_percepcion_remota/links/573275bd08aea45ee836450d/Modelo-Predictivo-de-la-calidad-del-agua-en-reservorios-de-Chihuahua-Mexico-usando-la-percepcion-remota.pdf,"La calidad de un agua natural se valora por sus características físicas, químicas y biológicas. 
El objetivo de la presente investigación fue explorar una manera exacta y rápida de …","['La calidad', 'un agua natural', 'sus características físicas, químicas y biológicas', 'El objetivo', 'la presente investigación', 'una manera exacta y rápida']",Otros
